000001,01,食品,6906839618604,103200365,旺旺维多利荔枝味150g,0,,2.0000,0,0,3.0000,0,袋,150g,旺旺维多利荔枝味150g,见包装,0.17,1.00,1032,益达乐清金裕,A,2.0000,,,PP,其它品牌,1,0,0
000001,01,食品,6907149235475,103200446,绿盛牛肉干30g,0,,7.5000,0,0,11.0000,0,包,30克,绿盛牛肉干30g,见包装,0.17,1.00,1032,益达乐清金裕,A,7.5000,,,PP,其它品牌,1,0,0
000001,01,食品,6907149235611,103200447,绿盛牛肉肠56g,0,,7.5000,0,0,11.0000,0,包,56g,绿盛牛肉肠56g,见包装,0.17,1.00,1032,益达乐清金裕,A,7.5000,,,PP,其它品牌,1,0,0
000001,01,食品,69072992702988,102502555,20g伊利脆奶酪香煎培根味,5.0000,,7.8000,39.00000000,33.33333333333,11.0000,55.00000000,包,20g,20g伊利脆奶酪香煎培,见包装,0.17,1.00,1025,顺拓零食,A,7.8000,,,PP,其它品牌,1,0,0
000001,01,食品,6907992400754,104000054,16g伊利奥力星纯鲜奶干吃奶片,-947.0000,,1.2000,-1136.40000000,-971.28205128205,2.0000,-1894.00000000,片,16g,16g伊利奥力星纯鲜奶,见包装,0.17,1.00,1040,自己进货,A,0,,,PP,其它品牌,1,0,0
000001,01,食品,6907992631240,104000053,伊利牛奶片草莓味,-138.0000,,1.2000,-165.60000000,-141.53846153846,2.0000,-276.00000000,排,16g,伊利牛奶片草莓味,见包装,0.17,1.00,1040,自己进货,A,0,,,PP,其它品牌,1,0,0
000001,01,食品,6907992702391,102501880,伊利酪酪火炬奶酪巧克力味,17.0000,,2.7000,45.90000000,39.23076923076,4.0000,68.00000000,,16克,伊利酪酪火炬奶酪巧克,见包装,0.17,1.00,1025,顺拓零食,A,2.7000,,,PP,其它品牌,1,0,0
000001,01,食品,6907992702476,102501975,伊利高钙奶酪弹原味（常温）,43.0000,,1.6000,68.80000000,58.80341880341,2.5000,107.50000000,,见包装,伊利高钙奶酪弹原味（,见包装,0.17,1.00,1025,顺拓零食,A,1.6000,,,PP,其它品牌,1,0,0
000001,01,食品,6907992702971,102502556,20g伊利脆奶酪香蟹黄味,4.0000,,7.8000,31.20000000,26.66666666666,11.0000,44.00000000,包,20g,20g伊利脆奶酪香蟹黄,见包装,0.17,1.00,1025,顺拓零食,A,7.8000,,,PP,其它品牌,1,0,0
000001,01,食品,6907992702988,102502557,20g伊利脆奶酪香蟹黄味,0,,0,0,0,11.0000,0,包,20g,20g伊利脆奶酪香蟹黄,见包装,0.17,1.00,1025,顺拓零食,A,0,,,PP,其它品牌,1,0,0
000001,01,食品,6909327860936,103100047,81G永信欢迎咸丁花生,-5.0000,,2.0000,-10.00000000,-8.54700854700,3.0000,-15.00000000,包,81g,81G永信欢迎咸丁花生,见包装,0.17,1.00,1031,汇城副食品,A,2.0000,,,PP,其它品牌,1,0,0
000001,01,食品,6911316000506,100400962,珍宝珠迷你酸条55g,0,,3.7800,0,0,5.0000,0,个,55克,珍宝珠迷你酸条55g,见包装,0.17,1.00,1004,台州添乐（力锦）,A,3.8000,,,PP,其它品牌,1,0,0
000001,01,食品,6911316375314,103900005,33g阿尔卑斯原味牛奶软糖,0,,1.9050,0,0,2.5000,0,条,33g,33g阿尔卑斯原味牛奶,见包装,0.17,1.00,1039,恒祥“糖果”,A,1.9048,,,PP,其它品牌,1,0,0
000001,01,食品,6911316380219,103900020,阿尔卑斯软条糖特浓牛奶软糖,0,,1.9100,0,0,2.5000,0,盒,1,阿尔卑斯软条糖特浓牛,见包装,0.17,1.00,1039,恒祥“糖果”,A,1.9048,,,PP,其它品牌,1,0,0
000001,01,食品,6911316502642,100400887,美乐笛棒棒糖,-43.0000,,1.1000,-47.30000000,-40.42735042735,2.0000,-86.00000000,个,15g,美乐笛棒棒糖,见包装,0.17,1.00,1004,台州添乐（力锦）,A,0,,,PP,其它品牌,1,0,0
000001,01,食品,6911316502659,100400885,15g美乐笛棒棒糖,-9.0000,,1.1000,-9.90000000,-8.46153846153,2.0000,-18.00000000,个,15g,15g美乐笛棒棒糖,见包装,0.17,1.00,1004,台州添乐（力锦）,A,1.1000,,,PP,其它品牌,1,0,0
